Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,rowid,y1
51.0,10.0,61.0,58.0,90.0,7.0,190.0,30.06,30.09,195,0
51.0,10.0,56.0,51.0,83.0,6.0,240.0,29.87,29.89,196,0
51.0,10.0,61.0,57.0,87.0,6.0,200.0,29.69,29.71,197,1
51.0,10.0,64.0,52.0,65.0,10.0,260.0,29.64,29.66,198,1
51.0,10.0,56.0,41.0,57.0,11.0,340.0,29.88,29.9,199,0
51.0,10.0,57.0,44.0,62.0,15.0,230.0,29.93,29.96,200,0
51.0,10.0,38.0,24.0,57.0,8.0,340.0,30.4,30.42,201,0
51.0,10.0,49.0,35.0,59.0,16.0,220.0,30.25,30.28,202,0
51.0,10.0,58.0,43.0,58.0,8.0,220.0,30.22,30.25,203,1
51.0,10.0,55.0,49.0,80.0,9.0,230.0,30.22,30.24,204,0
51.0,10.0,64.0,49.0,58.0,13.0,340.0,30.09,30.11,205,0
51.0,10.0,48.0,34.0,59.0,8.0,340.0,30.27,30.3,206,1
51.0,10.0,45.0,35.0,68.0,6.0,30.0,30.48,30.51,207,0
51.0,10.0,52.0,44.0,74.0,10.0,60.0,30.42,30.45,208,0
51.0,7.0,67.0,64.0,90.0,25.0,190.0,29.62,29.64,209,0
51.0,10.0,57.0,33.0,40.0,14.0,270.0,29.77,29.79,210,1
51.0,10.0,59.0,49.0,70.0,7.0,260.0,29.98,30.01,211,0
51.0,10.0,52.0,46.0,80.0,0.0,0.0,30.11,30.13,212,0
51.0,10.0,54.0,47.0,77.0,3.0,240.0,30.24,30.27,213,1
51.0,0.5,55.0,53.0,93.0,0.0,0.0,30.29,30.32,214,1
51.0,10.0,64.0,61.0,90.0,6.0,200.0,30.11,30.13,215,0
51.0,10.0,42.0,36.0,79.0,0.0,0.0,30.42,30.45,216,1
51.0,10.0,53.0,44.0,72.0,7.0,60.0,30.27,30.29,217,0
51.0,7.0,52.0,49.0,90.0,13.0,20.0,29.7,29.73,218,1
51.0,10.0,53.0,49.0,86.0,6.0,70.0,29.95,29.97,219,1
51.0,10.0,56.0,39.0,53.0,17.0,290.0,29.56,29.58,220,1
51.0,10.0,52.0,36.0,55.0,9.0,260.0,30.16,30.18,221,0
51.0,10.0,51.0,29.0,43.0,11.0,40.0,30.34,30.36,222,1
51.0,10.0,45.0,34.0,65.0,8.0,60.0,30.53,30.56,223,0
51.0,10.0,58.0,52.0,81.0,11.0,130.0,30.32,30.34,224,0
51.0,1.0,60.0,58.0,93.0,6.0,230.0,29.93,29.95,225,1
